,juror,country,fight,role,score,participant,problem,round,fightName
0,Moisés León Coello,Greece,1,Rep,8.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
1,Moisés León Coello,India,1,Opp,7.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
2,Moisés León Coello,Poland (Warsaw),1,Mod,10.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
3,Omar Calderón Losada,Greece,1,Rep,9.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
4,Omar Calderón Losada,India,1,Opp,6.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
5,Omar Calderón Losada,Poland (Warsaw),1,Mod,8.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
6,Åke Andersson,Greece,1,Rep,7.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
7,Åke Andersson,India,1,Opp,4.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
8,Åke Andersson,Poland (Warsaw),1,Mod,7.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
9,Barbara Schneider,Greece,1,Rep,7.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
10,Barbara Schneider,India,1,Opp,6.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
11,Barbara Schneider,Poland (Warsaw),1,Mod,6.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
12,Gaspard Aymerich,Greece,1,Rep,6.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
13,Gaspard Aymerich,India,1,Opp,4.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
14,Gaspard Aymerich,Poland (Warsaw),1,Mod,8.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
15,Iakov Breev,Greece,1,Rep,5.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23
16,Iakov Breev,India,1,Opp,4.0,Hardik Vamshi,Egg fight (13),1,1: Fight 1 | E23
17,Iakov Breev,Poland (Warsaw),1,Mod,7.0,Magdalena Orłowska,Egg fight (13),1,1: Fight 1 | E23
18,Moisés León Coello,India,1,Rep,7.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
19,Moisés León Coello,Poland (Warsaw),1,Opp,8.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
20,Moisés León Coello,Greece,1,Mod,8.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
21,Omar Calderón Losada,India,1,Rep,7.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
22,Omar Calderón Losada,Poland (Warsaw),1,Opp,6.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
23,Omar Calderón Losada,Greece,1,Mod,8.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
24,Åke Andersson,India,1,Rep,4.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
25,Åke Andersson,Poland (Warsaw),1,Opp,5.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
26,Åke Andersson,Greece,1,Mod,6.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
27,Barbara Schneider,India,1,Rep,8.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
28,Barbara Schneider,Poland (Warsaw),1,Opp,7.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
29,Barbara Schneider,Greece,1,Mod,8.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
30,Gaspard Aymerich,India,1,Rep,6.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
31,Gaspard Aymerich,Poland (Warsaw),1,Opp,8.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
32,Gaspard Aymerich,Greece,1,Mod,7.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
33,Iakov Breev,India,1,Rep,5.0,Shrey Ramanujam,Pulsar bar (16),2,1: Fight 1 | E23
34,Iakov Breev,Poland (Warsaw),1,Opp,6.0,Jakub Hevler,Pulsar bar (16),2,1: Fight 1 | E23
35,Iakov Breev,Greece,1,Mod,6.0,Maria Giga,Pulsar bar (16),2,1: Fight 1 | E23
36,Moisés León Coello,Poland (Warsaw),1,Rep,7.0,Jakub Hevler,Alcohol sound check (4),3,1: Fight 1 | E23
37,Moisés León Coello,Greece,1,Opp,7.0,Eleni-Amaranta Angelopoulou,Alcohol sound check (4),3,1: Fight 1 | E23
38,Moisés León Coello,India,1,Mod,8.0,Suhaan Singh,Alcohol sound check (4),3,1: Fight 1 | E23
39,Omar Calderón Losada,Poland (Warsaw),1,Rep,8.0,Jakub Hevler,Alcohol sound check (4),3,1: Fight 1 | E23
40,Omar Calderón Losada,Greece,1,Opp,8.0,Eleni-Amaranta Angelopoulou,Alcohol sound check (4),3,1: Fight 1 | E23
41,Omar Calderón Losada,India,1,Mod,5.0,Suhaan Singh,Alcohol sound check (4),3,1: Fight 1 | E23
42,Åke Andersson,Poland (Warsaw),1,Rep,9.0,Jakub Hevler,Alcohol sound check (4),3,1: Fight 1 | E23
43,Åke Andersson,Greece,1,Opp,5.0,Eleni-Amaranta Angelopoulou,Alcohol sound check (4),3,1: Fight 1 | E23
