,juror,country,fight,role,score,participant,problem,round,fightName,fightID
0,Moisés León Coello,Greece,1,Rep,8.0,Eleni-Amaranta Angelopoulou,Egg fight (13),1,1: Fight 1 | E23,1
968,Pawel Szczypkowski,Poland (Krakow),3,Mod,5.0,Anastasiya Yushchuk,The bright spot (9),3,3: Fight 3 | F26.1,18
969,Andrew Whittington,Team IPT,3,Rep,8.0,Arina Mironova,The bright spot (9),3,3: Fight 3 | F26.1,18
970,Andrew Whittington,Croatia,3,Opp,5.0,Borna Stjepić,The bright spot (9),3,3: Fight 3 | F26.1,18
971,Andrew Whittington,Poland (Krakow),3,Mod,5.0,Anastasiya Yushchuk,The bright spot (9),3,3: Fight 3 | F26.1,18
972,Victor H. González,Greece,3,Rep,8.0,Panagiotis Nikolakis,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
973,Victor H. González,Denmark,3,Opp,9.0,Anne Sofie Darket,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
974,Victor H. González,Switzerland (ETHZ),3,Mod,10.0,Tomas Noguera Valencia,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
975,Anastasiia Vasylchenkova,Greece,3,Rep,6.0,Panagiotis Nikolakis,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
976,Anastasiia Vasylchenkova,Denmark,3,Opp,7.0,Anne Sofie Darket,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
977,Anastasiia Vasylchenkova,Switzerland (ETHZ),3,Mod,6.0,Tomas Noguera Valencia,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
978,Jean-Philippe Ansermet,Greece,3,Rep,7.0,Panagiotis Nikolakis,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
979,Jean-Philippe Ansermet,Denmark,3,Opp,8.0,Anne Sofie Darket,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
980,Jean-Philippe Ansermet,Switzerland (ETHZ),3,Mod,8.0,Tomas Noguera Valencia,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
981,Kseniia Minakova,Greece,3,Rep,7.0,Panagiotis Nikolakis,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
982,Kseniia Minakova,Denmark,3,Opp,7.0,Anne Sofie Darket,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
983,Kseniia Minakova,Switzerland (ETHZ),3,Mod,7.0,Tomas Noguera Valencia,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
984,Hector Abel,Greece,3,Rep,6.0,Panagiotis Nikolakis,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
985,Hector Abel,Denmark,3,Opp,9.0,Anne Sofie Darket,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
986,Hector Abel,Switzerland (ETHZ),3,Mod,8.0,Tomas Noguera Valencia,Jumpy hoop (2),1,3: Fight 3 | F33.1,19
987,Victor H. González,Denmark,3,Rep,5.0,Nicolai Christian Kongstad,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
988,Victor H. González,Switzerland (ETHZ),3,Opp,6.0,Marianne Tafreschi,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
989,Victor H. González,Greece,3,Mod,6.0,Panagiotis Nikolakis,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
990,Anastasiia Vasylchenkova,Denmark,3,Rep,5.0,Nicolai Christian Kongstad,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
991,Anastasiia Vasylchenkova,Switzerland (ETHZ),3,Opp,9.0,Marianne Tafreschi,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
992,Anastasiia Vasylchenkova,Greece,3,Mod,7.0,Panagiotis Nikolakis,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
993,Jean-Philippe Ansermet,Denmark,3,Rep,8.0,Nicolai Christian Kongstad,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
994,Jean-Philippe Ansermet,Switzerland (ETHZ),3,Opp,8.0,Marianne Tafreschi,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
995,Jean-Philippe Ansermet,Greece,3,Mod,6.0,Panagiotis Nikolakis,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
996,Kseniia Minakova,Denmark,3,Rep,7.0,Nicolai Christian Kongstad,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
997,Kseniia Minakova,Switzerland (ETHZ),3,Opp,8.0,Marianne Tafreschi,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
998,Kseniia Minakova,Greece,3,Mod,6.0,Panagiotis Nikolakis,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
999,Hector Abel,Denmark,3,Rep,6.0,Nicolai Christian Kongstad,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
1000,Hector Abel,Switzerland (ETHZ),3,Opp,7.0,Marianne Tafreschi,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
1001,Hector Abel,Greece,3,Mod,6.0,Panagiotis Nikolakis,PVC cement droplets (5),2,3: Fight 3 | F33.1,19
1002,Victor H. González,Switzerland (ETHZ),3,Rep,4.0,Marianne Tafreschi,Galton board (1),3,3: Fight 3 | F33.1,19
1003,Victor H. González,Greece,3,Opp,8.0,Iason Kazazis,Galton board (1),3,3: Fight 3 | F33.1,19
1004,Victor H. González,Denmark,3,Mod,5.0,Mikkel Bech Sørensen,Galton board (1),3,3: Fight 3 | F33.1,19
1005,Anastasiia Vasylchenkova,Switzerland (ETHZ),3,Rep,7.0,Marianne Tafreschi,Galton board (1),3,3: Fight 3 | F33.1,19
1006,Anastasiia Vasylchenkova,Greece,3,Opp,8.0,Iason Kazazis,Galton board (1),3,3: Fight 3 | F33.1,19
1007,Anastasiia Vasylchenkova,Denmark,3,Mod,4.0,Mikkel Bech Sørensen,Galton board (1),3,3: Fight 3 | F33.1,19
1008,Jean-Philippe Ansermet,Switzerland (ETHZ),3,Rep,7.0,Marianne Tafreschi,Galton board (1),3,3: Fight 3 | F33.1,19
1009,Jean-Philippe Ansermet,Greece,3,Opp,8.0,Iason Kazazis,Galton board (1),3,3: Fight 3 | F33.1,19
1010,Jean-Philippe Ansermet,Denmark,3,Mod,6.0,Mikkel Bech Sørensen,Galton board (1),3,3: Fight 3 | F33.1,19
1011,Kseniia Minakova,Switzerland (ETHZ),3,Rep,7.0,Marianne Tafreschi,Galton board (1),3,3: Fight 3 | F33.1,19
1012,Kseniia Minakova,Greece,3,Opp,7.0,Iason Kazazis,Galton board (1),3,3: Fight 3 | F33.1,19
1013,Kseniia Minakova,Denmark,3,Mod,9.0,Mikkel Bech Sørensen,Galton board (1),3,3: Fight 3 | F33.1,19
1014,Hector Abel,Switzerland (ETHZ),3,Rep,7.0,Marianne Tafreschi,Galton board (1),3,3: Fight 3 | F33.1,19
1015,Hector Abel,Greece,3,Opp,7.0,Iason Kazazis,Galton board (1),3,3: Fight 3 | F33.1,19
1016,Hector Abel,Denmark,3,Mod,7.0,Mikkel Bech Sørensen,Galton board (1),3,3: Fight 3 | F33.1,19
1017,Omar Calderón Losada,Mexico,3,Rep,3.0,Jorge Eduardo Mejia Alvarado,Egg fight (13),1,3: Fight 3 | G26.1,20
1018,Omar Calderón Losada,USA,3,Opp,8.0,Brenden Martin,Egg fight (13),1,3: Fight 3 | G26.1,20
1019,Omar Calderón Losada,Spain,3,Mod,9.0,Marcos Cuervo Santos,Egg fight (13),1,3: Fight 3 | G26.1,20
1020,Maria Carolina De Oliveira Aguiar,Mexico,3,Rep,5.0,Jorge Eduardo Mejia Alvarado,Egg fight (13),1,3: Fight 3 | G26.1,20
1021,Maria Carolina De Oliveira Aguiar,USA,3,Opp,5.0,Brenden Martin,Egg fight (13),1,3: Fight 3 | G26.1,20
1022,Maria Carolina De Oliveira Aguiar,Spain,3,Mod,7.0,Marcos Cuervo Santos,Egg fight (13),1,3: Fight 3 | G26.1,20
1023,Nikolay Lysenko,Mexico,3,Rep,4.0,Jorge Eduardo Mejia Alvarado,Egg fight (13),1,3: Fight 3 | G26.1,20
1024,Nikolay Lysenko,USA,3,Opp,7.0,Brenden Martin,Egg fight (13),1,3: Fight 3 | G26.1,20
1025,Nikolay Lysenko,Spain,3,Mod,6.0,Marcos Cuervo Santos,Egg fight (13),1,3: Fight 3 | G26.1,20
1026,Sankar Sai Pradeep Kumar Maradana,Mexico,3,Rep,6.0,Jorge Eduardo Mejia Alvarado,Egg fight (13),1,3: Fight 3 | G26.1,20
1027,Sankar Sai Pradeep Kumar Maradana,USA,3,Opp,7.0,Brenden Martin,Egg fight (13),1,3: Fight 3 | G26.1,20
1028,Sankar Sai Pradeep Kumar Maradana,Spain,3,Mod,6.0,Marcos Cuervo Santos,Egg fight (13),1,3: Fight 3 | G26.1,20
