,juror,country,fight,role,score,participant,problem,round,fightName
0,Aleksandr Svetlichnyi,France,1,Rep,5.0,Amazigh Ouzriat,3. Dirty racing,1,Selective Fight 1| Room PF Room 4| Round 1
90,Geraldine Feraud,Brazil,1,Rep,7.0,Felipe Mazzi,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
91,Geraldine Feraud,Russia,1,Opp,8.0,Ivan Polonik,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
92,Ivan Rojkov,Brazil,1,Rep,7.0,Felipe Mazzi,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
93,Ivan Rojkov,Russia,1,Opp,5.0,Ivan Polonik,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
94,Åke Andersson,Brazil,1,Rep,5.0,Felipe Mazzi,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
95,Åke Andersson,Russia,1,Opp,7.0,Ivan Polonik,14. Ice clock,2,Selective Fight 1| Room PF Room 1| Round 2
96,Alexander Nozik,Germany,1,Rep,9.0,Dominik Döllerer,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
97,Alexander Nozik,Pakistan,1,Opp,6.0,Hamna Aslam,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
98,Amaury Barral,Germany,1,Rep,4.0,Dominik Döllerer,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
99,Amaury Barral,Pakistan,1,Opp,6.0,Hamna Aslam,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
100,Leandro Tessler,Germany,1,Rep,7.0,Dominik Döllerer,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
101,Leandro Tessler,Pakistan,1,Opp,6.0,Hamna Aslam,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
102,Stanislav Vinogradov,Germany,1,Rep,7.0,Dominik Döllerer,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
103,Stanislav Vinogradov,Pakistan,1,Opp,7.0,Hamna Aslam,14. Ice clock,2,Selective Fight 1| Room PF Room 5| Round 2
104,Aakash Bhat,Switzerland,2,Rep,6.0,Bosch Maximilian,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
105,Aakash Bhat,United Kingdom,2,Opp,7.0,Yansheng Zhang,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
106,Dmytro Oliinychenko,Switzerland,2,Rep,6.0,Bosch Maximilian,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
107,Dmytro Oliinychenko,United Kingdom,2,Opp,7.0,Yansheng Zhang,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
108,Georgy Fedorov,Switzerland,2,Rep,7.0,Bosch Maximilian,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
109,Georgy Fedorov,United Kingdom,2,Opp,8.0,Yansheng Zhang,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
110,Leandro Tessler,Switzerland,2,Rep,7.0,Bosch Maximilian,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
111,Leandro Tessler,United Kingdom,2,Opp,7.0,Yansheng Zhang,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 3| Round 1
112,Aakash Bhat,United Kingdom,2,Rep,2.0,Aneesh Agarwal,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
113,Aakash Bhat,Switzerland,2,Opp,5.0,Brockmeyer Frederike,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
114,Dmytro Oliinychenko,United Kingdom,2,Rep,5.0,Aneesh Agarwal,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
115,Dmytro Oliinychenko,Switzerland,2,Opp,8.0,Brockmeyer Frederike,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
116,Georgy Fedorov,United Kingdom,2,Rep,6.0,Aneesh Agarwal,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
117,Georgy Fedorov,Switzerland,2,Opp,7.0,Brockmeyer Frederike,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
118,Leandro Tessler,United Kingdom,2,Rep,5.0,Aneesh Agarwal,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
119,Leandro Tessler,Switzerland,2,Opp,6.0,Brockmeyer Frederike,5. Distant thunder,2,Selective Fight 2| Room PF Room 3| Round 2
