,juror,country,fight,role,score,participant,problem,round,fightName
0,Fabian  Cadiz,India,1,Rep,5.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
1,Fabian  Cadiz,Sweden,1,Opp,6.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
2,Fabian  Cadiz,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
3,Jakob Pedersen,India,1,Rep,7.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
4,Jakob Pedersen,Sweden,1,Opp,9.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
5,Jakob Pedersen,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
6,Krzysztof Turzynski,India,1,Rep,4.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
7,Krzysztof Turzynski,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
8,Krzysztof Turzynski,USA,1,Mod,2.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
9,Luis Núñez,India,1,Rep,5.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
10,Luis Núñez,Sweden,1,Opp,9.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
11,Luis Núñez,USA,1,Mod,6.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
12,Oleg Bezshyyko,India,1,Rep,6.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
13,Oleg Bezshyyko,Sweden,1,Opp,8.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
14,Oleg Bezshyyko,USA,1,Mod,5.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
15,Oskari Pakari,India,1,Rep,4.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
16,Oskari Pakari,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
17,Oskari Pakari,USA,1,Mod,4.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
18,Robert Schaller,India,1,Rep,6.0,Hiranmay Das,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
19,Robert Schaller,Sweden,1,Opp,7.0,Max-Oliver Blom,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
20,Robert Schaller,USA,1,Mod,4.0,Che Liu,3. Apples and Oranges,1,Selective Fight 1| Room CO016| Round 1
21,Dmytro Oliinychenko,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
22,Dmytro Oliinychenko,France – École polytechnique,1,Opp,8.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
23,Dmytro Oliinychenko,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
24,Nina Samylova,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
25,Nina Samylova,France – École polytechnique,1,Opp,7.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
26,Nina Samylova,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
27,Samy Adjam,Denmark,1,Rep,8.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
28,Samy Adjam,France – École polytechnique,1,Opp,6.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
29,Samy Adjam,Greece,1,Mod,5.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
30,Stanislav Vinogradov,Denmark,1,Rep,5.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
31,Stanislav Vinogradov,France – École polytechnique,1,Opp,8.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
32,Stanislav Vinogradov,Greece,1,Mod,7.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
33,Thiago Americo da Silva Cardoso,Denmark,1,Rep,7.0,Lise Grüner Hanson,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
34,Thiago Americo da Silva Cardoso,France – École polytechnique,1,Opp,7.0,Kyrylo Gerashchenko,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
35,Thiago Americo da Silva Cardoso,Greece,1,Mod,7.0,Christina Sofra,5. Water dancing ball,1,Selective Fight 1| Room CO122| Round 1
36,Anastasiia Vasylchenkova,Australia,1,Rep,6.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
37,Anastasiia Vasylchenkova,France – Université de Lyon,1,Opp,7.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
38,Anastasiia Vasylchenkova,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
39,Andrés  García Castro,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
40,Andrés  García Castro,France – Université de Lyon,1,Opp,6.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
41,Andrés  García Castro,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
42,Antoine Pochelon,Australia,1,Rep,8.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
43,Antoine Pochelon,France – Université de Lyon,1,Opp,8.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
44,Antoine Pochelon,Russia – MIPT,1,Mod,7.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
45,Arnaud Raoux,Australia,1,Rep,5.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
46,Arnaud Raoux,France – Université de Lyon,1,Opp,8.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
47,Arnaud Raoux,Russia – MIPT,1,Mod,3.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
48,Aymeric Galan,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
49,Aymeric Galan,France – Université de Lyon,1,Opp,5.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
50,Aymeric Galan,Russia – MIPT,1,Mod,4.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
51,Nicoletta Mauri,Australia,1,Rep,4.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
52,Nicoletta Mauri,France – Université de Lyon,1,Opp,7.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
53,Nicoletta Mauri,Russia – MIPT,1,Mod,5.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
54,Stefan Richter,Australia,1,Rep,7.0,Brigid  Wilson,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
55,Stefan Richter,France – Université de Lyon,1,Opp,9.0,Lise Morlet-Decarnin,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
56,Stefan Richter,Russia – MIPT,1,Mod,4.0,Anna Nedorubova,15. Pouring a Sandcastle,1,Selective Fight 1| Room CO123| Round 1
57,Benoit Truc,Russia – Voronezh State University + VSTU + MIPT,1,Rep,8.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
58,Benoit Truc,Colombia,1,Opp,5.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
59,Benoit Truc,Ukraine - TSNUK,1,Mod,4.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
60,Dhimiter Canko,Russia – Voronezh State University + VSTU + MIPT,1,Rep,5.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
61,Dhimiter Canko,Colombia,1,Opp,8.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
62,Dhimiter Canko,Ukraine - TSNUK,1,Mod,5.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
63,Jean-Marie Fürbringer,Russia – Voronezh State University + VSTU + MIPT,1,Rep,8.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
64,Jean-Marie Fürbringer,Colombia,1,Opp,6.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
65,Jean-Marie Fürbringer,Ukraine - TSNUK,1,Mod,6.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
66,Lorenzo Périssé,Russia – Voronezh State University + VSTU + MIPT,1,Rep,8.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
67,Lorenzo Périssé,Colombia,1,Opp,8.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
68,Lorenzo Périssé,Ukraine - TSNUK,1,Mod,7.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
69,Marko Jerčić,Russia – Voronezh State University + VSTU + MIPT,1,Rep,7.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
70,Marko Jerčić,Colombia,1,Opp,5.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
71,Marko Jerčić,Ukraine - TSNUK,1,Mod,4.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
72,Simon Luca Villani,Russia – Voronezh State University + VSTU + MIPT,1,Rep,7.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
73,Simon Luca Villani,Colombia,1,Opp,6.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
74,Simon Luca Villani,Ukraine - TSNUK,1,Mod,4.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
75,Suzanne Andersen,Russia – Voronezh State University + VSTU + MIPT,1,Rep,8.0,Aleksandra Maslakova,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
76,Suzanne Andersen,Colombia,1,Opp,7.0,Juan Pacheco Arias,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
77,Suzanne Andersen,Ukraine - TSNUK,1,Mod,6.0,Kostiantyn  Sakhatskyi,7. Drunken glass,1,Selective Fight 1| Room CO124| Round 1
78,Andrew Penton,Brazil,1,Rep,5.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
79,Andrew Penton,Croatia,1,Opp,7.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
80,Andrew Penton,Switzerland,1,Mod,5.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
81,Daniil Sytnikov,Brazil,1,Rep,6.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
82,Daniil Sytnikov,Croatia,1,Opp,7.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
83,Daniil Sytnikov,Switzerland,1,Mod,7.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
84,Michael Wagenpfeil,Brazil,1,Rep,5.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
85,Michael Wagenpfeil,Croatia,1,Opp,6.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
86,Michael Wagenpfeil,Switzerland,1,Mod,6.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
87,Peter Vesborg,Brazil,1,Rep,4.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
88,Peter Vesborg,Croatia,1,Opp,7.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
89,Peter Vesborg,Switzerland,1,Mod,9.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
90,Thibault Guillet,Brazil,1,Rep,5.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
91,Thibault Guillet,Croatia,1,Opp,6.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
92,Thibault Guillet,Switzerland,1,Mod,5.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
93,Zakhar Maizelis,Brazil,1,Rep,5.0,Lucas Coimbra,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
94,Zakhar Maizelis,Croatia,1,Opp,6.0,Luka Bakrač,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
95,Zakhar Maizelis,Switzerland,1,Mod,5.0,Nicholas Greensmith,12. Jet charged!,1,Selective Fight 1| Room CO015| Round 1
96,Benoit Truc,Colombia,1,Rep,8.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
97,Benoit Truc,Ukraine - TSNUK,1,Opp,8.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
98,Benoit Truc,Poland,1,Mod,3.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
99,Dhimiter Canko,Colombia,1,Rep,7.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
100,Dhimiter Canko,Ukraine - TSNUK,1,Opp,8.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
101,Dhimiter Canko,Poland,1,Mod,8.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
102,Jean-Marie Fürbringer,Colombia,1,Rep,8.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
103,Jean-Marie Fürbringer,Ukraine - TSNUK,1,Opp,8.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
104,Jean-Marie Fürbringer,Poland,1,Mod,9.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
105,Lorenzo Périssé,Colombia,1,Rep,6.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
106,Lorenzo Périssé,Ukraine - TSNUK,1,Opp,6.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
107,Lorenzo Périssé,Poland,1,Mod,2.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
108,Marko Jerčić,Colombia,1,Rep,7.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
109,Marko Jerčić,Ukraine - TSNUK,1,Opp,5.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
110,Marko Jerčić,Poland,1,Mod,5.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
111,Simon Luca Villani,Colombia,1,Rep,5.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
112,Simon Luca Villani,Ukraine - TSNUK,1,Opp,10.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
113,Simon Luca Villani,Poland,1,Mod,3.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
114,Suzanne Andersen,Colombia,1,Rep,5.0,Daniel Borrero Landazabal,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
115,Suzanne Andersen,Ukraine - TSNUK,1,Opp,5.0,Oleksandr Korostyshevskyi,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
116,Suzanne Andersen,Poland,1,Mod,4.0,Wojciech Zwoliński,12. Jet charged!,2,Selective Fight 1| Room CO124| Round 2
117,Anastasiia Vasylchenkova,France – Université de Lyon,1,Rep,8.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
118,Anastasiia Vasylchenkova,Russia – MIPT,1,Opp,6.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
119,Anastasiia Vasylchenkova,Australia,1,Mod,7.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
120,Andrés  García Castro,France – Université de Lyon,1,Rep,8.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
121,Andrés  García Castro,Russia – MIPT,1,Opp,3.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
122,Andrés  García Castro,Australia,1,Mod,7.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
123,Antoine Pochelon,France – Université de Lyon,1,Rep,8.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
124,Antoine Pochelon,Russia – MIPT,1,Opp,7.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
125,Antoine Pochelon,Australia,1,Mod,6.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
126,Arnaud Raoux,France – Université de Lyon,1,Rep,10.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
127,Arnaud Raoux,Russia – MIPT,1,Opp,6.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
128,Arnaud Raoux,Australia,1,Mod,6.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
129,Aymeric Galan,France – Université de Lyon,1,Rep,8.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
130,Aymeric Galan,Russia – MIPT,1,Opp,6.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
131,Aymeric Galan,Australia,1,Mod,7.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
132,Nicoletta Mauri,France – Université de Lyon,1,Rep,8.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
133,Nicoletta Mauri,Russia – MIPT,1,Opp,7.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
134,Nicoletta Mauri,Australia,1,Mod,6.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
135,Stefan Richter,France – Université de Lyon,1,Rep,9.0,Pascal Wang,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
136,Stefan Richter,Russia – MIPT,1,Opp,7.0,Kirill Voronin,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
137,Stefan Richter,Australia,1,Mod,4.0,Shaun McAnally,13. String shooter,2,Selective Fight 1| Room CO123| Round 2
138,Fabian  Cadiz,Sweden,1,Rep,6.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
139,Fabian  Cadiz,USA,1,Opp,5.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
140,Fabian  Cadiz,India,1,Mod,7.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
141,Jakob Pedersen,Sweden,1,Rep,6.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
142,Jakob Pedersen,USA,1,Opp,6.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
143,Jakob Pedersen,India,1,Mod,5.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
144,Krzysztof Turzynski,Sweden,1,Rep,3.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
145,Krzysztof Turzynski,USA,1,Opp,5.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
146,Krzysztof Turzynski,India,1,Mod,2.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
147,Luis Núñez,Sweden,1,Rep,6.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
148,Luis Núñez,USA,1,Opp,9.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
149,Luis Núñez,India,1,Mod,7.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
150,Oleg Bezshyyko,Sweden,1,Rep,7.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
151,Oleg Bezshyyko,USA,1,Opp,6.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
152,Oleg Bezshyyko,India,1,Mod,6.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
153,Oskari Pakari,Sweden,1,Rep,4.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
154,Oskari Pakari,USA,1,Opp,5.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
155,Oskari Pakari,India,1,Mod,6.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
156,Robert Schaller,Sweden,1,Rep,4.0,Max-Oliver Blom,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
157,Robert Schaller,USA,1,Opp,5.0,Guillaume Shippee,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
158,Robert Schaller,India,1,Mod,6.0,Dripto Biswas,5. Water dancing ball,2,Selective Fight 1| Room CO016| Round 2
159,Fabian  Cadiz,USA,1,Rep,4.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
160,Fabian  Cadiz,India,1,Opp,6.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
161,Fabian  Cadiz,Sweden,1,Mod,7.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
162,Jakob Pedersen,USA,1,Rep,5.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
163,Jakob Pedersen,India,1,Opp,5.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
164,Jakob Pedersen,Sweden,1,Mod,7.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
165,Krzysztof Turzynski,USA,1,Rep,6.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
166,Krzysztof Turzynski,India,1,Opp,6.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
167,Krzysztof Turzynski,Sweden,1,Mod,9.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
168,Luis Núñez,USA,1,Rep,5.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
169,Luis Núñez,India,1,Opp,6.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
170,Luis Núñez,Sweden,1,Mod,8.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
171,Oleg Bezshyyko,USA,1,Rep,7.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
172,Oleg Bezshyyko,India,1,Opp,6.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
173,Oleg Bezshyyko,Sweden,1,Mod,7.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
174,Oskari Pakari,USA,1,Rep,6.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
175,Oskari Pakari,India,1,Opp,6.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
176,Oskari Pakari,Sweden,1,Mod,7.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
177,Robert Schaller,USA,1,Rep,5.0,Xuyang Yu,2. Yut,3,Selective Fight 1| Room CO016| Round 3
178,Robert Schaller,India,1,Opp,7.0,Nisarg Vyas,2. Yut,3,Selective Fight 1| Room CO016| Round 3
179,Robert Schaller,Sweden,1,Mod,8.0,Viktor Pontéus,2. Yut,3,Selective Fight 1| Room CO016| Round 3
180,Guilhem Gallot,Germany,1,Rep,6.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
181,Guilhem Gallot,Italy,1,Opp,7.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
182,Guilhem Gallot,Ukraine - National University of Kharkiv,1,Mod,8.0,Olha Zaitseva,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
183,Jean Philippe,Germany,1,Rep,7.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
184,Jean Philippe,Italy,1,Opp,8.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
185,Jean Philippe,Ukraine - National University of Kharkiv,1,Mod,9.0,Olha Zaitseva,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
186,Marcin Swillo,Germany,1,Rep,6.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
187,Marcin Swillo,Italy,1,Opp,7.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
188,Marcin Swillo,Ukraine - National University of Kharkiv,1,Mod,5.0,Olha Zaitseva,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
189,Nicolas Plihon,Germany,1,Rep,7.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
190,Nicolas Plihon,Italy,1,Opp,9.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
191,Nicolas Plihon,Ukraine - National University of Kharkiv,1,Mod,7.0,Olha Zaitseva,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
192,Piotr Podlaski,Germany,1,Rep,5.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
193,Piotr Podlaski,Italy,1,Opp,7.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
194,Piotr Podlaski,Ukraine - National University of Kharkiv,1,Mod,8.0,Olha Zaitseva,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
195,Sonia Natale,Germany,1,Rep,6.0,Simon Michalke,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
196,Sonia Natale,Italy,1,Opp,8.0,Alessandro Mariani,5. Water dancing ball,1,Selective Fight 1| Room CO017| Round 1
